id;updatedDate;publishedDate;title;summary;authors;category;metaData;downloadLink;filePath
http://arxiv.org/abs/hep-ph/0604226v1;2006-04-26T12:48:50Z;2006-04-26T12:48:50Z;SingleSpinAsymmetriesAndGaugeInvarianceInHardScatteringProcesses.pdf;  In this PhD-thesis effects from intrinsic transverse momentum are studied inseveral hard scattering processes with an emphasis on color gauge invariance.The thesis is intended for beginning PhD-students as well as for the experts.;Fetze Pijlman;hep-ph;160 pages, 138 figures, PhD thesis;http://arxiv.org/pdf/hep-ph/0604226v1.pdf;./files/SingleSpinAsymmetriesAndGaugeInvarianceInHardScatteringProcesses.pdf
http://arxiv.org/abs/0704.1309v1;2007-04-10T21:05:31Z;2007-04-10T21:05:31Z;QuantumStateTransferWithSpinChains.pdf;  The thesis covers various aspects of quantum state transfer in permanentlycoupled spin systems.;Daniel Burgarth;quant-ph;PhD thesis, December 2006, University College London, 142 pages;http://arxiv.org/pdf/0704.1309v1.pdf;./files/QuantumStateTransferWithSpinChains.pdf
http://arxiv.org/abs/1109.5268v1;2011-09-24T14:06:58Z;2011-09-24T14:06:58Z;ProofOfALorentzAndLeviCivitaThesis.pdf;  A formal proof of the thesis by Lorentz and Levi-Civita that the left-handside of Einstein field equations represents the real energy-momentum-stresstensor of the gravitational field.;A. Loinger;physics.gen-ph;5 pages;http://arxiv.org/pdf/1109.5268v1.pdf;./files/ProofOfALorentzAndLeviCivitaThesis.pdf
http://arxiv.org/abs/1405.3642v1;2014-04-24T19:54:01Z;2014-04-24T19:54:01Z;ProteinStructureDeterminationUsingChemicalShifts.pdf;  In this PhD thesis, a novel method to determine protein structures usingchemical shifts is presented.;Anders S. Christensen;physics.chem-ph;Univ Copenhagen PhD thesis (2014) in Biochemistry;http://arxiv.org/pdf/1405.3642v1.pdf;./files/ProteinStructureDeterminationUsingChemicalShifts.pdf
http://arxiv.org/abs/0902.3241v1;2009-02-18T23:10:41Z;2009-02-18T23:10:41Z;ThePenroseInequalityInGeneralRelativityAndVolumeComparisonTheoremsInvolvingScalarCurvatureThesis.pdf;  In this thesis we describe how minimal surface techniques can be used toprove the Penrose inequality in general relativity for two classes of3-manifolds. We also describe how a new volume comparison theorem involvingscalar curvature for 3-manifolds follows from these same techniques.;Hubert L. Bray;math.DG;"(111 pages, 8 figures) This posting is my thesis (Stanford, 1997). I
  have not gotten around to publishing these results as of 2009, although I
  have always had the intention to do so. Since multiple papers have cited this
  thesis, I am posting it here";http://arxiv.org/pdf/0902.3241v1.pdf;./files/ThePenroseInequalityInGeneralRelativityAndVolumeComparisonTheoremsInvolvingScalarCurvatureThesis.pdf
http://arxiv.org/abs/hep-th/9908199v1;1999-08-30T14:56:40Z;1999-08-30T14:56:40Z;AspectsOfDuality.pdf;  This thesis discusses various aspects of duality in quantum field theory andstring theory. In the first part we consider duality in topological quantumfield theories, concentrating on the Donaldson and Seiberg-Witten theories as(dual) approaches to the study of four-manifolds. Lower-dimensional variants ofthese theories are also discussed. In the second part of the thesis we discussduality in 2D sigma models by studying the interplay between renormalizationgroup flows - as generated by the beta functions - and T-duality. Thehypothesis put forward in the thesis is that for these to be mutuallyconsistent, they should commute as operators in parameter space. The last partof the thesis bring these subjects into perspective by reviewing somenonperturbative dualities in string theory.;Kasper Olsen;hep-th;140 pages, PhD thesis March 1999;http://arxiv.org/pdf/hep-th/9908199v1.pdf;./files/AspectsOfDuality.pdf
http://arxiv.org/abs/0704.3907v1;2007-04-30T09:37:41Z;2007-04-30T09:37:41Z;DevelopmentsInEntanglementTheoryAndApplicationsToRelevantPhysicalSystems.pdf;  This Thesis is devoted to the analysis of entanglement in relevant physicalsystems. Entanglement is the conducting theme of this research, though I do notdedicate to a single topic, but consider a wide scope of physical situations. Ihave followed mainly three lines of research for this Thesis, with a series ofdifferent works each, which are, Entanglement and Relativistic Quantum Theory,Continuous-variable entanglement, and Multipartite entanglement.;Lucas Lamata;quant-ph;Ph.D. Thesis, April 2007, Universidad Autonoma de Madrid;http://arxiv.org/pdf/0704.3907v1.pdf;./files/DevelopmentsInEntanglementTheoryAndApplicationsToRelevantPhysicalSystems.pdf
http://arxiv.org/abs/1708.09430v1;2017-08-30T19:05:25Z;2017-08-30T19:05:25Z;AsymptoticsInTheTimeDependentHawkingAndUnruhEffects.pdf;  In this thesis, we study the Hawking and Unruh effects in time-dependentsituations, as registered by localised spacetimes observers in severalasymptotic situations.  (Full abstract inside document.);Benito A. Juárez-Aubry;gr-qc;"Thesis submitted to the University of Nottingham for the Degree of
  Doctor of Philosophy. Thesis supervisor: Dr. Jorma Louko. 230 pages. 20
  figures";http://arxiv.org/pdf/1708.09430v1.pdf;./files/AsymptoticsInTheTimeDependentHawkingAndUnruhEffects.pdf
http://arxiv.org/abs/1610.06226v1;2016-10-19T21:25:20Z;2016-10-19T21:25:20Z;AtTheFrontierOfPrecisionQcdInTheLhcEra.pdf;  This thesis discusses recent advances in precision calculations of quantumchromodynamics and their application to the Large Hadron Collider (LHC) physicsprogram and beyond.;Alexander Karlberg;hep-ph;Thesis;http://arxiv.org/pdf/1610.06226v1.pdf;./files/AtTheFrontierOfPrecisionQcdInTheLhcEra.pdf
http://arxiv.org/abs/1301.0692v1;2013-01-04T09:37:44Z;2013-01-04T09:37:44Z;EntanglementWitnessingBasedOnPositiveMapsCharacterizationOfAClassOfBipartiteNXNQubitSystems.pdf;  In this thesis work, we have studied the role of positive and completelypositive maps in detecting entanglement.;Mahya Karbalaii;math-ph;116 pages, 9 figures, PhD Thesis;http://arxiv.org/pdf/1301.0692v1.pdf;./files/EntanglementWitnessingBasedOnPositiveMapsCharacterizationOfAClassOfBipartiteNXNQubitSystems.pdf
